TASK 3 - PHASE 6: CONTROL INTERFACE TELEMETRY
Structured output for Rajaryan (Control) + Dhruv (Data)
===============================================================================================

   Time | Active |  Phase |    State | Progress |  FL_hip |  FR_hip |  RL_hip |  RR_hip |   Failures
  1.750 |     FL |  SWING | UNSTABLE |    0.125 |   11.88 |  -10.00 |  -10.00 |  -10.00 |       none
  1.760 |     FL |  SWING | UNSTABLE |    0.126 |   12.00 |  -10.00 |  -10.00 |  -10.00 |       none
  1.770 |     FL |  SWING | UNSTABLE |    0.126 |   12.12 |  -10.00 |  -10.00 |  -10.00 |       none
  1.780 |     FL |  SWING | UNSTABLE |    0.127 |   12.25 |  -10.00 |  -10.00 |  -10.00 |       none
  1.790 |     FL |  SWING | UNSTABLE |    0.128 |   12.38 |  -10.00 |  -10.00 |  -10.00 |       none
  1.800 |     FL |  SWING | UNSTABLE |    0.129 |   12.50 |  -10.00 |  -10.00 |  -10.00 |       none
  1.810 |     FL |  SWING | UNSTABLE |    0.129 |   12.62 |  -10.00 |  -10.00 |  -10.00 |       none
  1.820 |     FL |  SWING | UNSTABLE |    0.130 |   12.75 |  -10.00 |  -10.00 |  -10.00 |       none
  1.830 |     FL |  SWING | UNSTABLE |    0.131 |   12.88 |  -10.00 |  -10.00 |  -10.00 |       none
  1.840 |     FL |  SWING | UNSTABLE |    0.131 |   13.00 |  -10.00 |  -10.00 |  -10.00 |       none
  1.850 |     FL |  SWING | UNSTABLE |    0.132 |   13.12 |  -10.00 |  -10.00 |  -10.00 |       none
  1.860 |     FL |  SWING | UNSTABLE |    0.133 |   13.25 |  -10.00 |  -10.00 |  -10.00 |       none
  1.870 |     FL |  SWING | UNSTABLE |    0.134 |   13.38 |  -10.00 |  -10.00 |  -10.00 |       none
  1.880 |     FL |  SWING | UNSTABLE |    0.134 |   13.50 |  -10.00 |  -10.00 |  -10.00 |       none
  1.890 |     FL |  SWING | UNSTABLE |    0.135 |   13.62 |  -10.00 |  -10.00 |  -10.00 |       none
  1.900 |     FL |  SWING | UNSTABLE |    0.136 |   13.75 |  -10.00 |  -10.00 |  -10.00 |       none
  1.910 |     FL |  SWING | UNSTABLE |    0.136 |   13.88 |  -10.00 |  -10.00 |  -10.00 |       none
  1.920 |     FL |  SWING | UNSTABLE |    0.137 |   14.00 |  -10.00 |  -10.00 |  -10.00 |       none
  1.930 |     FL |  SWING | UNSTABLE |    0.138 |   14.12 |  -10.00 |  -10.00 |  -10.00 |       none
  1.940 |     FL |  SWING | UNSTABLE |    0.139 |   14.25 |  -10.00 |  -10.00 |  -10.00 |       none
  1.950 |     FL |  SWING | UNSTABLE |    0.139 |   14.38 |  -10.00 |  -10.00 |  -10.00 |       none
  1.960 |     FL |  SWING | UNSTABLE |    0.140 |   14.50 |  -10.00 |  -10.00 |  -10.00 |       none
  1.970 |     FL |  SWING | UNSTABLE |    0.141 |   14.62 |  -10.00 |  -10.00 |  -10.00 |       none
  1.980 |     FL |  SWING | UNSTABLE |    0.141 |   14.75 |  -10.00 |  -10.00 |  -10.00 |       none
  1.990 |     FL |  SWING | UNSTABLE |    0.142 |   14.88 |  -10.00 |  -10.00 |  -10.00 |       none
  2.000 |     FL | STANCE |   STABLE |    0.143 |   15.00 |  -10.00 |  -10.00 |  -10.00 |       none
  2.010 |     FL | STANCE |   STABLE |    0.144 |   14.88 |  -10.00 |  -10.00 |  -10.00 |       none
  2.020 |     FL | STANCE |   STABLE |    0.144 |   14.75 |  -10.00 |  -10.00 |  -10.00 |       none
  2.030 |     FL | STANCE |   STABLE |    0.145 |   14.62 |  -10.00 |  -10.00 |  -10.00 |       none
  2.040 |     FL | STANCE |   STABLE |    0.146 |   14.50 |  -10.00 |  -10.00 |  -10.00 |       none
